,,"$108,020 per year",,,,,,,,
,,$51.93 per hour,,,,,,,,
,,Bachelor's degree,,,,,,,,
,,None,,,,,,,,
,,None,,,,,,,,
,,"202,900",,,,,,,,
,,36% (Much faster than average),,,,,,,,
,,"73,100",,,,,,,,
,,,,,,,,,,
Quick Facts: Data Scientists,2023 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2023","Job Outlook, 2023-33","Employment Change, 2023-33","Click State/Area tab, then the job name, then scroll to the second graph","Click work environment tab, find info on remote/office, teams or alone",
job,pay,edu,exp,train,n_employed,outlook,change_employment,top_places,physical_work_environment,social_work_environment
data scientist,108020,BS,None,None,202900,36,73100,DC,"office, remote, outside",team or solo
architect,93310,BS,None,Internship,127300,8,9900,CA,"office,site,remote",Solo and team
real estate broker,56620,HS,2 years,Lisence,544400,2,10100,CO,"Home, on site",Solo with clients
business consultant,99410,BS,Less than 5 years,None,1018300,11,107900,CA,"Office, site",Team
economic research analyst,115730,MS,None,None,17500,5,900,DC,"office, remote, outside",Solo with collaboration
financial analyst,99890,BS,None,None,404800,9,37900,NY,"office, remote ",Team and clients
mathematician and statistician,104860,MS,None,None,34800,11,3900,MD,"Office, remote",Team
operations research analyst,83640,BS,None,None,123300,23,28300,CA,"Office, travel","Solo, team, clients"
